Id,Timestamp,HRESULT
19787,2016-10-09 02:31:33,0x800f080d
17643,2016-10-07 12:46:20,0x800f080d
17795,2016-10-07 12:46:23,0x800f080d
7727,2016-10-02 03:07:52,0x800f080d
6220,2016-10-01 16:38:53,0x800f080d
10427,2016-10-03 11:08:59,0x800f080d
4043,2016-09-30 00:02:04,0x800f080d
12349,2016-10-04 16:50:14,0x800f080d
23655,2016-10-10 19:28:45,0x800f080d
3386,2016-09-29 22:28:44,0x800f0805
23785,2016-10-10 19:28:47,0x800f080d
9802,2016-10-02 21:11:31,0x800f080d
22772,2016-10-10 00:12:09,0x800f080d
22805,2016-10-10 00:12:09,0x800f080d
14262,2016-10-05 21:51:50,0x800f080d
426670,2016-10-11 03:06:38,0x80070490
18840,2016-10-08 07:05:53,0x800f080d
22878,2016-10-10 00:12:10,0x800f080d
18560,2016-10-08 00:01:47,0x800f080d
8170,2016-10-02 11:59:45,0x800f080d
4389,2016-09-30 07:08:56,0x800f080d
3249,2016-09-29 22:28:43,0x800f080d
3164,2016-09-29 22:28:43,0x800f080d
21226,2016-10-09 03:00:26,0x800f080d
13030,2016-10-05 00:16:48,0x800f080d
6077,2016-10-01 16:38:53,0x800f080d
109937,2016-10-11 03:03:20,0x800f080d
1181,2016-09-29 00:01:47,0x800f080d
10125,2016-10-03 11:08:57,0x800f080d
17640,2016-10-07 12:46:20,0x800f080d
16538,2016-10-06 21:40:50,0x800f080d
7049,2016-10-02 03:04:49,0x800f080d
4007,2016-09-30 00:02:04,0x800f080d
8928,2016-10-02 14:01:08,0x800f080d
22094,2016-10-09 04:36:39,0x800f080d
21795,2016-10-09 04:36:38,0x800f080d
8999,2016-10-02 14:01:08,0x800f080d
9816,2016-10-02 21:11:31,0x800f080d
11205,2016-10-04 06:23:50,0x800f080d
16573,2016-10-06 21:40:50,0x800f080d
22995,2016-10-10 00:12:11,0x800f080d
15692,2016-10-06 18:02:30,0x800f080d
19672,2016-10-09 02:31:32,0x800f080d
7052,2016-10-02 03:04:49,0x800f080d
8985,2016-10-02 14:01:08,0x800f080d
5211,2016-09-30 19:47:17,0x800f080d
13184,2016-10-05 00:39:38,0x800f080d
414614,2016-10-11 03:06:38,0x80070490
205370,2016-10-11 03:04:02,0x80070490
18494,2016-10-08 00:01:47,0x800f080d
18792,2016-10-08 07:05:53,0x800f080d
401106,2016-10-11 03:06:34,0x80070490
5318,2016-09-30 19:47:18,0x800f080d
279,2016-09-28 04:30:32,0x800f080d
7151,2016-10-02 03:06:50,0x800f080d
