Id,StartTime,EndTime,InitializedBy
4455,2016-09-30 07:09:05,2016-09-30 07:09:05,WindowsUpdateAgent.
14494,2016-10-05 21:52:13,2016-10-05 21:52:13,WindowsUpdateAgent.
6815,2016-10-01 16:39:50,2016-10-01 16:39:50,WindowsUpdateAgent.
8366,2016-10-02 12:00:20,2016-10-02 12:00:20,WindowsUpdateAgent.
15260,2016-10-06 03:01:11,2016-10-06 03:01:11,WindowsUpdateAgent.
23197,2016-10-10 00:12:19,2016-10-10 00:12:19,WindowsUpdateAgent.
20568,2016-10-09 02:32:04,2016-10-09 02:32:04,WindowsUpdateAgent.
7610,2016-10-02 03:07:46,2016-10-02 03:07:46,WindowsUpdateAgent.
16319,2016-10-06 18:04:02,2016-10-06 18:04:02,WindowsUpdateAgent.
3456,2016-09-29 22:28:49,2016-09-29 22:28:49,WindowsUpdateAgent.
21330,2016-10-09 03:00:28,2016-10-09 03:00:28,WindowsUpdateAgent.
1028,2016-09-28 04:30:52,2016-09-28 04:30:52,WindowsUpdateAgent.
12862,2016-10-04 16:50:36,2016-10-04 16:50:36,WindowsUpdateAgent.
18029,2016-10-07 12:46:50,2016-10-07 12:46:50,WindowsUpdateAgent.
5735,2016-09-30 19:47:34,2016-09-30 19:47:34,WindowsUpdateAgent.
20643,2016-10-09 02:32:06,2016-10-09 02:32:06,WindowsUpdateAgent.
11667,2016-10-04 06:24:26,2016-10-04 06:24:26,WindowsUpdateAgent.
775,2016-09-28 04:30:44,2016-09-28 04:30:44,WindowsUpdateAgent.
4824,2016-09-30 07:09:39,2016-09-30 07:09:39,WindowsUpdateAgent.
13752,2016-10-05 00:40:46,2016-10-05 00:40:46,WindowsUpdateAgent.
14630,2016-10-05 21:52:24,2016-10-05 21:52:24,WindowsUpdateAgent.
24227,2016-10-10 19:29:23,2016-10-10 19:29:23,WindowsUpdateAgent.
23144,2016-10-10 00:12:17,2016-10-10 00:12:17,WindowsUpdateAgent.
22665,2016-10-09 04:37:02,2016-10-09 04:37:02,WindowsUpdateAgent.
8688,2016-10-02 12:00:41,2016-10-02 12:00:41,WindowsUpdateAgent.
10677,2016-10-03 11:09:29,2016-10-03 11:09:29,WindowsUpdateAgent.
14854,2016-10-05 21:52:36,2016-10-05 21:52:36,WindowsUpdateAgent.
199,2016-09-28 04:30:31,2016-09-28 04:30:31,WindowsUpdateAgent.
23277,2016-10-10 00:12:24,2016-10-10 00:12:24,WindowsUpdateAgent.
6633,2016-10-01 16:39:43,2016-10-01 16:39:43,WindowsUpdateAgent.
20133,2016-10-09 02:31:49,2016-10-09 02:31:49,WindowsUpdateAgent.
