timestamp,log_level,component,message,is_continuation,group
2016-10-11 03:04:01,Info,CBS,Applicability(ComponentAnalyzerEvaluateSelfUpdate): Component: amd64_microsoft-windows-c..ityclient.resources_31bf3856ad364e35_6.1.7601.23338_da-dk_1d40bbfddeea5bea,0,2016-10-11 03:04:01
2016-10-11 03:04:00,Info,CBS,Applicability(ComponentAnalyzerEvaluateSelfUpdate): Component: amd64_microsoft-windows-lsa.resources_31bf3856ad364e35_6.1.7601.23338_pt-pt_e7c3aa8a3288c7b8,0,2016-10-11 03:04:00
2016-10-11 03:04:01,Info,CBS,Applicability(ComponentAnalyzerEvaluateSelfUpdate): Component: x86_microsoft-windows-c..ityclient.resources_31bf3856ad364e35_6.1.7601.23338_he-il_4de10633f0a95408,0,2016-10-11 03:04:01
2016-10-11 03:03:48,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:03:48
2016-10-11 03:03:48,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:03:48
2016-10-11 03:03:48,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:03:48
2016-10-11 03:03:48,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:03:48
2016-10-11 03:03:48,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:03:48
2016-10-11 03:03:48,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:03:48
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
2016-10-11 03:04:00,Info,CBS,Appl: Selfupdate,0,2016-10-11 03:04:00
